x,y,z,reachable,left_ok,right_ok,left_error,right_error,left_joint_margin,right_joint_margin,left_sigma_min,right_sigma_min
-0.75,0.15,0.15,0,0,1,0.25755829594415314,0.00013531180172792634,0.0,0.063994277207442,0.1610052336485301,0.1481215328576764
-0.7,0.15,0.15,0,0,0,0.30616490032054494,0.013850497354294907,0.0,0.0,0.17890948018270644,0.13166217260877747
-0.6499999999999999,0.15,0.15,0,1,0,0.0019629765072791483,0.06505257815761631,0.0,0.0,0.22447675797005476,0.12657666552748734
-0.5999999999999999,0.15,0.15,0,1,0,2.672215062242975e-05,0.0774035830045127,0.016478775954518188,0.0,0.230669493477624,0.11006841881738139
-0.5499999999999998,0.15,0.15,0,1,0,0.0018782395202920062,0.044942525333030746,0.0,0.0,0.21453228206078764,0.08981879362766297
-0.4999999999999998,0.15,0.15,1,1,1,0.0019507472512963967,4.175658089710322e-05,0.0,0.0190809119512676,0.18333796063820282,0.08564141927963537
-0.44999999999999973,0.15,0.15,1,1,1,0.001798911700526451,0.00036688792899942165,0.0,0.10727886257051811,0.1544317032101594,0.0936482970844924
-0.3999999999999997,0.15,0.15,1,1,1,0.00015960918580447208,0.00022751526645605537,0.013441762966088788,0.21727220681328507,0.12927822677247852,0.11073288812422173
-0.34999999999999964,0.15,0.15,0,0,1,0.030053031524810432,0.00011301199003805427,0.0,0.3418627344446099,0.11875370714481327,0.1337502158274473
-0.2999999999999996,0.15,0.15,0,0,1,0.0824858800786585,6.328036384720995e-05,0.0,0.31150208699396487,0.11848485174197768,0.15857073152627846
-0.24999999999999956,0.15,0.15,0,0,1,0.08178256147638763,4.399954541704943e-05,0.0,0.2605223933873706,0.12027280747104731,0.18023737288225167
-0.1999999999999995,0.15,0.15,0,0,1,0.06107124573896813,3.76212062145647e-05,0.0,0.2225129239007888,0.0898246800372758,0.19255434797138155
-0.14999999999999947,0.15,0.15,0,0,1,0.18815278140847688,4.020162069081511e-05,0.0,0.1959519163754324,0.13081361954214918,0.19210336150496285
-0.09999999999999942,0.15,0.15,0,0,1,0.2152218822631473,5.4353410787008555e-05,0.0,0.18067082609035223,0.14971574683778674,0.18110842426018559
